# filename total_packets tcp_packets udp_packets total_bytes connections dns_queries dns_responses
native-local-x1-tcp-7 16 16 0 14936 1 0 0
native-local-x1-tcp-6 13 13 0 14722 0 0 0
native-local-x1-tcp-5 16 16 0 14936 1 0 0
native-local-x1-tcp-4 16 16 0 14936 1 0 0
native-local-x1-tcp-3 16 16 0 14936 1 0 0
native-local-x1-tcp-2 16 16 0 14936 1 0 0
native-local-x1-tcp-1 16 16 0 14936 1 0 0
native-local-x1-tcp-0 16 16 0 14936 1 0 0
native-local-x10-tcp-5 80 80 0 143952 2 0 0
native-local-x10-tcp-4 67 67 0 129214 1 0 0
native-local-x10-tcp-3 80 80 0 143952 2 0 0
native-local-x10-tcp-2 77 77 0 143738 1 0 0
native-local-x10-tcp-1 80 80 0 143952 2 0 0
native-local-x10-tcp-0 80 80 0 143952 2 0 0
native-local-x1-tcp-9 16 16 0 14936 1 0 0
native-local-x1-tcp-8 16 16 0 14936 1 0 0
native-local-x100-tcp-seq1-2 607 607 0 1412614 1 0 0
native-local-x100-tcp-seq1-1 620 620 0 1427352 2 0 0
native-local-x100-tcp-seq1-0 617 617 0 1427138 1 0 0
native-local-x10-tcp-9 80 80 0 143952 2 0 0
native-local-x10-tcp-8 80 80 0 143952 2 0 0
native-local-x10-tcp-7 67 67 0 129214 1 0 0
native-local-x10-tcp-6 80 80 0 143952 2 0 0
native-local-x100-tcp-seq1-9 620 620 0 1427352 2 0 0
native-local-x100-tcp-seq1-8 620 620 0 1427352 2 0 0
native-local-x100-tcp-seq1-6 620 620 0 1427352 2 0 0
native-local-x100-tcp-seq1-5 620 620 0 1427352 2 0 0
native-local-x100-tcp-seq1-3 607 607 0 1412614 1 0 0
native-local-x100-tcp-seq1-4 620 620 0 1427352 2 0 0
native-local-x100-tcp-seq1-7 617 617 0 1427138 1 0 0
native-local-x100-tcp-seq10-7 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq10-6 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq10-5 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq10-3 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq10-2 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq10-1 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq10-4 755 755 0 1436390 10 0 0
native-local-x100-tcp-seq10-0 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq25-3 1048 1048 0 1335928 50 0 0
native-local-x100-tcp-seq25-2 1144 1144 0 1463521 50 0 0
native-local-x100-tcp-seq25-0 1142 1142 0 1463332 50 0 0
native-local-x100-tcp-seq10-9 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq10-8 800 800 0 1439520 20 0 0
native-local-x100-tcp-seq25-1 1130 1130 0 1462502 50 0 0
native-local-x100-tcp-seq25-9 1137 1137 0 1462945 50 0 0
